,ANO,UF,CARGO,SIGLA,TOTAL,MULHERES,PARDOS,BRANCOS,PRETOS,AMARELOS,INDÍGENAS,MULHERES PARDAS,MULHERES BRANCAS,MULHERES PRETAS,MULHERES AMARELAS,MULHERES INDÍGENAS,%MULHERES,%PARDOS,%MULHERES ENTRE PARDOS,%BRANCOS,%MULHERES ENTRE BRANCOS,%PRETOS,%MULHERES ENTRE PRETOS,%AMARELOS,%MULHERES ENTRE AMARELOS,%INDÍGENAS,%MULHERES ENTRE INDÍGENAS
50,2014,AC,DEPUTADO FEDERAL,PROS,1,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,
51,2014,AC,DEPUTADO FEDERAL,PPL,2,0,2,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,
52,2014,AC,DEPUTADO FEDERAL,PTN,1,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,
53,2014,AC,DEPUTADO FEDERAL,PSDC,1,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,
54,2014,AC,SENADOR,PP,1,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,
55,2014,AC,SENADOR,PSOL,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0
56,2014,AC,SENADOR,PC do B,1,1,1,0,0,0,0,1,0,0,0,0,1.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,
57,2014,AC,SENADOR,PMN,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,1.0,0.0,0.0,,0.0,,0.0,
58,2014,AL,DEPUTADO ESTADUAL,PSOL,10,3,6,3,1,0,0,0,3,0,0,0,0.3,0.6,0.0,0.3,1.0,0.1,0.0,0.0,,0.0,
59,2014,AL,DEPUTADO ESTADUAL,PPS,21,8,17,4,0,0,0,7,1,0,0,0,0.38095238095238093,0.8095238095238095,0.4117647058823529,0.19047619047619047,0.25,0.0,,0.0,,0.0,
60,2014,AL,DEPUTADO ESTADUAL,PSD,6,2,1,5,0,0,0,0,2,0,0,0,0.3333333333333333,0.16666666666666666,0.0,0.8333333333333334,0.4,0.0,,0.0,,0.0,
61,2014,AL,DEPUTADO ESTADUAL,PT,26,8,16,8,2,0,0,5,2,1,0,0,0.3076923076923077,0.6153846153846154,0.3125,0.3076923076923077,0.25,0.07692307692307693,0.5,0.0,,0.0,
62,2014,AL,DEPUTADO ESTADUAL,PTB,17,4,12,3,2,0,0,4,0,0,0,0,0.23529411764705882,0.7058823529411765,0.3333333333333333,0.17647058823529413,0.0,0.11764705882352941,0.0,0.0,,0.0,
63,2014,AL,DEPUTADO ESTADUAL,PHS,19,7,15,1,2,0,1,6,0,1,0,0,0.3684210526315789,0.7894736842105263,0.4,0.05263157894736842,0.0,0.10526315789473684,0.5,0.0,,0.05263157894736842,0.0
64,2014,AL,DEPUTADO ESTADUAL,PTC,13,4,9,4,0,0,0,3,1,0,0,0,0.3076923076923077,0.6923076923076923,0.3333333333333333,0.3076923076923077,0.25,0.0,,0.0,,0.0,
65,2014,AL,DEPUTADO ESTADUAL,PMDB,23,6,14,5,4,0,0,6,0,0,0,0,0.2608695652173913,0.6086956521739131,0.42857142857142855,0.21739130434782608,0.0,0.17391304347826086,0.0,0.0,,0.0,
66,2014,AL,DEPUTADO ESTADUAL,PT do B,9,3,9,0,0,0,0,3,0,0,0,0,0.3333333333333333,1.0,0.3333333333333333,0.0,,0.0,,0.0,,0.0,
67,2014,AL,DEPUTADO ESTADUAL,PP,14,8,5,9,0,0,0,4,4,0,0,0,0.5714285714285714,0.35714285714285715,0.8,0.6428571428571429,0.4444444444444444,0.0,,0.0,,0.0,
68,2014,AL,DEPUTADO ESTADUAL,DEM,6,1,3,3,0,0,0,0,1,0,0,0,0.16666666666666666,0.5,0.0,0.5,0.3333333333333333,0.0,,0.0,,0.0,
69,2014,AL,DEPUTADO ESTADUAL,SD,9,2,4,3,2,0,0,1,1,0,0,0,0.2222222222222222,0.4444444444444444,0.25,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.0,0.0,,0.0,
70,2014,AL,DEPUTADO ESTADUAL,PDT,17,6,11,6,0,0,0,5,1,0,0,0,0.35294117647058826,0.6470588235294118,0.45454545454545453,0.35294117647058826,0.16666666666666666,0.0,,0.0,,0.0,
71,2014,AL,DEPUTADO ESTADUAL,PROS,9,2,8,1,0,0,0,2,0,0,0,0,0.2222222222222222,0.8888888888888888,0.25,0.1111111111111111,0.0,0.0,,0.0,,0.0,
72,2014,AL,DEPUTADO ESTADUAL,PRTB,28,10,14,14,0,0,0,7,3,0,0,0,0.35714285714285715,0.5,0.5,0.5,0.21428571428571427,0.0,,0.0,,0.0,
73,2014,AL,DEPUTADO ESTADUAL,PRB,13,4,7,5,1,0,0,2,2,0,0,0,0.3076923076923077,0.5384615384615384,0.2857142857142857,0.38461538461538464,0.4,0.07692307692307693,0.0,0.0,,0.0,
74,2014,AL,DEPUTADO ESTADUAL,PSB,16,2,10,4,2,0,0,1,1,0,0,0,0.125,0.625,0.1,0.25,0.25,0.125,0.0,0.0,,0.0,
75,2014,AL,DEPUTADO ESTADUAL,PSDB,22,8,10,12,0,0,0,3,5,0,0,0,0.36363636363636365,0.45454545454545453,0.3,0.5454545454545454,0.4166666666666667,0.0,,0.0,,0.0,
76,2014,AL,DEPUTADO ESTADUAL,PPL,8,2,0,6,2,0,0,0,1,1,0,0,0.25,0.0,,0.75,0.16666666666666666,0.25,0.5,0.0,,0.0,
77,2014,AL,DEPUTADO ESTADUAL,PR,2,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,,1.0,0.0,0.0,,0.0,,0.0,
78,2014,AL,DEPUTADO ESTADUAL,PMN,5,2,4,1,0,0,0,1,1,0,0,0,0.4,0.8,0.25,0.2,1.0,0.0,,0.0,,0.0,
79,2014,AL,DEPUTADO ESTADUAL,PV,7,2,2,4,1,0,0,2,0,0,0,0,0.2857142857142857,0.2857142857142857,1.0,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,,0.0,
80,2014,AL,DEPUTADO ESTADUAL,PSC,2,2,1,1,0,0,0,1,1,0,0,0,1.0,0.5,1.0,0.5,1.0,0.0,,0.0,,0.0,
81,2014,AL,DEPUTADO ESTADUAL,PSDC,2,0,2,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,
82,2014,AL,DEPUTADO ESTADUAL,PSTU,1,1,1,0,0,0,0,1,0,0,0,0,1.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,
83,2014,AL,DEPUTADO ESTADUAL,PC do B,2,1,2,0,0,0,0,1,0,0,0,0,0.5,1.0,0.5,0.0,,0.0,,0.0,,0.0,
84,2014,AL,DEPUTADO FEDERAL,PPS,6,3,3,3,0,0,0,2,1,0,0,0,0.5,0.5,0.6666666666666666,0.5,0.3333333333333333,0.0,,0.0,,0.0,
85,2014,AL,DEPUTADO FEDERAL,PMDB,13,4,3,10,0,0,0,1,3,0,0,0,0.3076923076923077,0.23076923076923078,0.3333333333333333,0.7692307692307693,0.3,0.0,,0.0,,0.0,
86,2014,AL,DEPUTADO FEDERAL,PCB,1,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,
87,2014,AL,DEPUTADO FEDERAL,PSOL,5,2,4,1,0,0,0,2,0,0,0,0,0.4,0.8,0.5,0.2,0.0,0.0,,0.0,,0.0,
88,2014,AL,DEPUTADO FEDERAL,PSDB,14,5,5,7,2,0,0,3,1,1,0,0,0.35714285714285715,0.35714285714285715,0.6,0.5,0.14285714285714285,0.14285714285714285,0.5,0.0,,0.0,
