,ANO,UF,CARGO,TOTAL,MULHERES,PARDOS,BRANCOS,PRETOS,AMARELOS,INDÍGENAS,MULHERES PARDAS,MULHERES BRANCAS,MULHERES PRETAS,MULHERES AMARELAS,MULHERES INDÍGENAS,%MULHERES,%PARDOS,%MULHERES ENTRE PARDOS,%BRANCOS,%MULHERES ENTRE BRANCOS,%PRETOS,%MULHERES ENTRE PRETOS,%AMARELOS,%MULHERES ENTRE AMARELOS,%INDÍGENAS,%MULHERES ENTRE INDÍGENAS
97,2018,CE,DEPUTADO FEDERAL,262,84,132,110,16,3,1,39,33,10,2,0,0.32061068702290074,0.5038167938931297,0.29545454545454547,0.4198473282442748,0.3,0.061068702290076333,0.625,0.011450381679389313,0.6666666666666666,0.003816793893129771,0.0
98,2018,CE,SENADOR,13,2,3,9,1,0,0,0,2,0,0,0,0.15384615384615385,0.23076923076923078,0.0,0.6923076923076923,0.2222222222222222,0.07692307692307693,0.0,0.0,,0.0,
99,2018,DF,DEPUTADO DISTRITAL,973,306,459,399,109,5,1,141,125,37,2,1,0.31449126413155193,0.47173689619732784,0.30718954248366015,0.41007194244604317,0.3132832080200501,0.11202466598150052,0.3394495412844037,0.0051387461459403904,0.4,0.0010277492291880781,1.0
100,2018,DF,DEPUTADO FEDERAL,188,59,83,89,12,1,3,24,31,3,1,0,0.31382978723404253,0.44148936170212766,0.2891566265060241,0.4734042553191489,0.34831460674157305,0.06382978723404255,0.25,0.005319148936170213,1.0,0.015957446808510637,0.0
101,2018,DF,SENADOR,20,3,7,12,1,0,0,1,2,0,0,0,0.15,0.35,0.14285714285714285,0.6,0.16666666666666666,0.05,0.0,0.0,,0.0,
102,2018,ES,DEPUTADO ESTADUAL,611,191,278,273,59,0,1,80,89,22,0,0,0.31260229132569556,0.45499181669394434,0.28776978417266186,0.44680851063829785,0.326007326007326,0.09656301145662848,0.3728813559322034,0.0,,0.0016366612111292963,0.0
103,2018,ES,DEPUTADO FEDERAL,169,57,46,100,21,0,2,15,33,9,0,0,0.33727810650887574,0.27218934911242604,0.32608695652173914,0.591715976331361,0.33,0.1242603550295858,0.42857142857142855,0.0,,0.011834319526627219,0.0
104,2018,ES,SENADOR,11,2,2,6,3,0,0,0,2,0,0,0,0.18181818181818182,0.18181818181818182,0.0,0.5454545454545454,0.3333333333333333,0.2727272727272727,0.0,0.0,,0.0,
105,2018,GO,DEPUTADO ESTADUAL,893,285,370,437,81,5,0,108,144,33,0,0,0.3191489361702128,0.4143337066069429,0.2918918918918919,0.48936170212765956,0.3295194508009153,0.09070548712206047,0.4074074074074074,0.005599104143337066,0.0,0.0,
106,2018,GO,DEPUTADO FEDERAL,228,76,71,137,20,0,0,21,49,6,0,0,0.3333333333333333,0.31140350877192985,0.29577464788732394,0.6008771929824561,0.35766423357664234,0.08771929824561403,0.3,0.0,,0.0,
107,2018,GO,SENADOR,12,3,3,9,0,0,0,0,3,0,0,0,0.25,0.25,0.0,0.75,0.3333333333333333,0.0,,0.0,,0.0,
