,UF,CARGO,SG_PARTIDO,propor10,propor14,propor18,Variaçao 14-18,Variaçao 10-14,Variaçao 10-18
121,AL,DEPUTADO FEDERAL,AVANTE,1.0,0.0,0.0,,-1.0,-1.0
122,AL,DEPUTADO FEDERAL,NOVO,1.0,0.0,0.3333333333333333,inf,-1.0,-0.6666666666666667
123,AL,DEPUTADO FEDERAL,MDB,1.0,0.0,0.6666666666666666,inf,-1.0,-0.33333333333333337
124,AL,DEPUTADO FEDERAL,PODE,1.0,0.0,0.0,,-1.0,-1.0
125,AL,DEPUTADO FEDERAL,PATRI,1.0,0.0,0.25,inf,-1.0,-0.75
126,AL,DEPUTADO FEDERAL,SOLIDARIEDADE,1.0,0.0,0.5,inf,-1.0,-0.5
127,AL,DEPUTADO FEDERAL,PCO,1.0,0.0,1.0,inf,-1.0,0.0
128,AL,DEPUTADO FEDERAL,DC,1.0,0.0,0.5,inf,-1.0,-0.5
129,AL,DEPUTADO FEDERAL,REDE,1.0,0.0,1.0,inf,-1.0,0.0
130,AL,SENADOR,PP,0.0,0.0,0.0,,,
131,AL,SENADOR,PCB,0.0,0.0,0.0,,,
132,AL,SENADOR,PSOL,1.0,1.0,0.0,-1.0,0.0,-1.0
133,AL,SENADOR,PSDB,0.0,0.0,0.0,,,
134,AL,SENADOR,MDB,0.0,0.0,0.0,,,
135,AL,SENADOR,PR,0.0,0.0,0.0,,,
136,AL,SENADOR,PCO,0.0,0.0,1.0,inf,,inf
137,AL,SENADOR,PSL,0.0,0.0,0.0,,,
138,AL,SENADOR,PATRI,0.0,0.0,0.0,,,
139,AP,DEPUTADO ESTADUAL,PTB,0.25,0.2,0.2857142857142857,0.42857142857142844,-0.19999999999999996,0.1428571428571428
140,AP,DEPUTADO ESTADUAL,PSB,0.5416666666666666,0.3,0.3125,0.041666666666666706,-0.4461538461538461,-0.423076923076923
141,AP,DEPUTADO ESTADUAL,PSDB,0.42105263157894735,0.3333333333333333,0.375,0.12500000000000006,-0.20833333333333334,-0.10937499999999994
142,AP,DEPUTADO ESTADUAL,PP,0.20833333333333334,0.3333333333333333,0.3333333333333333,0.0,0.5999999999999999,0.5999999999999999
143,AP,DEPUTADO ESTADUAL,PSTU,0.5,0.5,0.5,0.0,0.0,0.0
144,AP,DEPUTADO ESTADUAL,PT,0.06666666666666667,0.3076923076923077,0.38095238095238093,0.23809523809523797,3.615384615384616,4.714285714285714
145,AP,DEPUTADO ESTADUAL,PDT,0.3,0.4666666666666667,0.5,0.07142857142857141,0.5555555555555557,0.6666666666666667
146,AP,DEPUTADO ESTADUAL,PSC,0.29411764705882354,0.3055555555555556,0.3235294117647059,0.05882352941176467,0.03888888888888894,0.10000000000000002
147,AP,DEPUTADO ESTADUAL,PRP,0.25,0.3,0.34782608695652173,0.15942028985507248,0.19999999999999996,0.3913043478260869
148,AP,DEPUTADO ESTADUAL,DEM,0.2,0.3333333333333333,0.3888888888888889,0.16666666666666674,0.6666666666666665,0.9444444444444444
149,AP,DEPUTADO ESTADUAL,PHS,0.5,0.375,0.46153846153846156,0.23076923076923084,-0.25,-0.07692307692307687
150,AP,DEPUTADO ESTADUAL,PPS,0.16666666666666666,0.3333333333333333,0.38461538461538464,0.15384615384615397,1.0,1.307692307692308
151,AP,DEPUTADO ESTADUAL,PRB,0.2,0.2,0.4444444444444444,1.2222222222222219,0.0,1.2222222222222219
152,AP,DEPUTADO ESTADUAL,PV,0.1111111111111111,0.2727272727272727,0.2916666666666667,0.06944444444444459,1.4545454545454546,1.6250000000000002
153,AP,DEPUTADO ESTADUAL,PMN,0.0,0.3333333333333333,0.5,0.5000000000000001,inf,inf
154,AP,DEPUTADO ESTADUAL,PSOL,0.4,0.3333333333333333,0.25,-0.24999999999999994,-0.16666666666666677,-0.37500000000000006
155,AP,DEPUTADO ESTADUAL,PR,0.2857142857142857,0.36,0.2702702702702703,-0.24924924924924918,0.26,-0.054054054054053946
156,AP,DEPUTADO ESTADUAL,PC do B,0.0,0.2857142857142857,0.25,-0.12499999999999994,inf,inf
157,AP,DEPUTADO ESTADUAL,PSL,0.0,0.2222222222222222,0.14285714285714285,-0.35714285714285715,inf,inf
158,AP,DEPUTADO ESTADUAL,PSD,0.0,0.2777777777777778,0.4,0.44,inf,inf
159,AP,DEPUTADO ESTADUAL,PROS,0.0,0.4444444444444444,0.3125,-0.29687499999999994,inf,inf
160,AP,DEPUTADO ESTADUAL,PPL,0.0,0.5714285714285714,0.2857142857142857,-0.5,inf,inf
161,AP,DEPUTADO ESTADUAL,PTC,0.0,0.0,0.3157894736842105,inf,,inf
162,AP,DEPUTADO ESTADUAL,MDB,0.0,0.2,0.2857142857142857,0.42857142857142844,inf,inf
163,AP,DEPUTADO ESTADUAL,DC,0.0,0.2,0.25,0.24999999999999994,inf,inf
164,AP,DEPUTADO ESTADUAL,SOLIDARIEDADE,0.0,0.2,0.4444444444444444,1.2222222222222219,inf,inf
165,AP,DEPUTADO ESTADUAL,REDE,0.0,0.2,0.32142857142857145,0.6071428571428572,inf,inf
166,AP,DEPUTADO ESTADUAL,PODE,0.0,0.2,0.35714285714285715,0.7857142857142857,inf,inf
167,AP,DEPUTADO ESTADUAL,AVANTE,0.0,0.2,0.16666666666666666,-0.16666666666666677,inf,inf
168,AP,DEPUTADO ESTADUAL,PMB,0.0,0.2,0.45454545454545453,1.2727272727272725,inf,inf
169,AP,DEPUTADO ESTADUAL,PATRI,0.0,0.2,0.0,-1.0,inf,
170,AP,DEPUTADO FEDERAL,PPS,0.5,0.0,0.0,,-1.0,-1.0
171,AP,DEPUTADO FEDERAL,PDT,0.2857142857142857,0.5,0.25,-0.5,0.7500000000000001,-0.12499999999999994
172,AP,DEPUTADO FEDERAL,PSC,0.2,0.5,0.3333333333333333,-0.33333333333333337,1.4999999999999998,0.6666666666666665
173,AP,DEPUTADO FEDERAL,PTB,0.18181818181818182,0.6666666666666666,0.14285714285714285,-0.7857142857142856,2.6666666666666665,-0.21428571428571436
174,AP,DEPUTADO FEDERAL,PSB,0.2857142857142857,0.5,0.2727272727272727,-0.4545454545454546,0.7500000000000001,-0.04545454545454547
175,AP,DEPUTADO FEDERAL,PTC,0.6666666666666666,0.0,0.2,inf,-1.0,-0.7
176,AP,DEPUTADO FEDERAL,PV,0.5,0.3333333333333333,0.16666666666666666,-0.5,-0.33333333333333337,-0.6666666666666667
177,AP,DEPUTADO FEDERAL,PSOL,0.0,0.25,0.42857142857142855,0.7142857142857142,inf,inf
178,AP,DEPUTADO FEDERAL,DEM,0.2,0.2,0.2,0.0,0.0,0.0
179,AP,DEPUTADO FEDERAL,PRB,0.0,0.0,1.0,inf,,inf
180,AP,DEPUTADO FEDERAL,PHS,0.0,1.0,0.5714285714285714,-0.4285714285714286,inf,inf
181,AP,DEPUTADO FEDERAL,PT,0.5,0.4,0.625,0.5624999999999999,-0.19999999999999996,0.25
