,ANO,UF,CARGO,PARTIDO,HOMENS,MULHERES,TOTAL,%MULHERES,%HOMENS
555,2018,AP,SENADOR,PSB,0,1,1,1.0,0.0
556,2018,AP,SENADOR,PCB,0,1,1,1.0,0.0
557,2018,AP,SENADOR,PSDB,1,0,1,0.0,1.0
558,2018,AP,SENADOR,PSL,1,0,1,0.0,1.0
559,2018,AP,SENADOR,PPS,1,0,1,0.0,1.0
560,2018,AP,SENADOR,PSTU,1,0,1,0.0,1.0
561,2018,AP,SENADOR,PTB,1,0,1,0.0,1.0
562,2010,AM,DEPUTADO ESTADUAL,PTN,36,15,51,0.29411764705882354,0.7058823529411765
563,2010,AM,DEPUTADO ESTADUAL,PDT,17,6,23,0.2608695652173913,0.7391304347826086
564,2010,AM,DEPUTADO ESTADUAL,PPS,13,4,17,0.23529411764705882,0.7647058823529411
565,2010,AM,DEPUTADO ESTADUAL,DEM,20,8,28,0.2857142857142857,0.7142857142857143
566,2010,AM,DEPUTADO ESTADUAL,PR,15,7,22,0.3181818181818182,0.6818181818181818
567,2010,AM,DEPUTADO ESTADUAL,PSDB,14,6,20,0.3,0.7
568,2010,AM,DEPUTADO ESTADUAL,PT,16,8,24,0.3333333333333333,0.6666666666666666
569,2010,AM,DEPUTADO ESTADUAL,PV,19,10,29,0.3448275862068966,0.6551724137931034
570,2010,AM,DEPUTADO ESTADUAL,PRP,19,4,23,0.17391304347826086,0.8260869565217391
571,2010,AM,DEPUTADO ESTADUAL,PMN,16,2,18,0.1111111111111111,0.8888888888888888
572,2010,AM,DEPUTADO ESTADUAL,PP,8,4,12,0.3333333333333333,0.6666666666666666
573,2010,AM,DEPUTADO ESTADUAL,PSB,8,4,12,0.3333333333333333,0.6666666666666666
574,2010,AM,DEPUTADO ESTADUAL,PC do B,28,12,40,0.3,0.7
575,2010,AM,DEPUTADO ESTADUAL,PMDB,12,12,24,0.5,0.5
576,2010,AM,DEPUTADO ESTADUAL,PT do B,3,1,4,0.25,0.75
577,2010,AM,DEPUTADO ESTADUAL,PSDC,4,3,7,0.42857142857142855,0.5714285714285714
578,2010,AM,DEPUTADO ESTADUAL,PRB,4,4,8,0.5,0.5
579,2010,AM,DEPUTADO ESTADUAL,PSL,13,5,18,0.2777777777777778,0.7222222222222222
580,2010,AM,DEPUTADO ESTADUAL,PSOL,4,0,4,0.0,1.0
581,2010,AM,DEPUTADO ESTADUAL,PTC,3,2,5,0.4,0.6
