,UF,CARGO,SG_PARTIDO,COR,propor14,propor18,Variaçao 14-18
95,AC,DEPUTADO ESTADUAL,PHS,PARDA,0.6923076923076923,0.4090909090909091,-0.40909090909090906
96,AC,DEPUTADO ESTADUAL,PHS,BRANCA,0.15384615384615385,0.45454545454545453,1.9545454545454544
97,AC,DEPUTADO ESTADUAL,PHS,PRETA,0.07692307692307693,0.13636363636363635,0.7727272727272725
98,AC,DEPUTADO ESTADUAL,PHS,AMARELA,0.07692307692307693,0.0,-1.0
99,AC,DEPUTADO ESTADUAL,PHS,INDÍGENA,0.0,0.0,
100,AC,DEPUTADO ESTADUAL,PT do B,PARDA,0.7,0.0,-1.0
101,AC,DEPUTADO ESTADUAL,PT do B,BRANCA,0.3,0.0,-1.0
102,AC,DEPUTADO ESTADUAL,PT do B,PRETA,0.0,0.0,
103,AC,DEPUTADO ESTADUAL,PT do B,AMARELA,0.0,0.0,
104,AC,DEPUTADO ESTADUAL,PT do B,INDÍGENA,0.0,0.0,
105,AC,DEPUTADO ESTADUAL,PR,PARDA,1.0,1.0,0.0
106,AC,DEPUTADO ESTADUAL,PR,BRANCA,0.0,0.0,
107,AC,DEPUTADO ESTADUAL,PR,PRETA,0.0,0.0,
108,AC,DEPUTADO ESTADUAL,PR,AMARELA,0.0,0.0,
109,AC,DEPUTADO ESTADUAL,PR,INDÍGENA,0.0,0.0,
110,AC,DEPUTADO ESTADUAL,PSL,PARDA,0.6,0.5333333333333333,-0.11111111111111109
111,AC,DEPUTADO ESTADUAL,PSL,BRANCA,0.4,0.43333333333333335,0.08333333333333331
112,AC,DEPUTADO ESTADUAL,PSL,PRETA,0.0,0.03333333333333333,inf
113,AC,DEPUTADO ESTADUAL,PSL,AMARELA,0.0,0.0,
114,AC,DEPUTADO ESTADUAL,PSL,INDÍGENA,0.0,0.0,
115,AC,DEPUTADO ESTADUAL,PDT,PARDA,0.75,0.7857142857142857,0.047619047619047596
116,AC,DEPUTADO ESTADUAL,PDT,BRANCA,0.19444444444444445,0.17857142857142858,-0.08163265306122448
117,AC,DEPUTADO ESTADUAL,PDT,PRETA,0.05555555555555555,0.03571428571428571,-0.35714285714285715
118,AC,DEPUTADO ESTADUAL,PDT,AMARELA,0.0,0.0,
119,AC,DEPUTADO ESTADUAL,PDT,INDÍGENA,0.0,0.0,
120,AC,DEPUTADO ESTADUAL,PEN,PARDA,0.6666666666666666,0.0,-1.0
121,AC,DEPUTADO ESTADUAL,PEN,BRANCA,0.16666666666666666,0.0,-1.0
122,AC,DEPUTADO ESTADUAL,PEN,PRETA,0.16666666666666666,0.0,-1.0
123,AC,DEPUTADO ESTADUAL,PEN,AMARELA,0.0,0.0,
124,AC,DEPUTADO ESTADUAL,PEN,INDÍGENA,0.0,0.0,
125,AC,DEPUTADO ESTADUAL,PSD,PARDA,0.5769230769230769,0.45454545454545453,-0.21212121212121207
126,AC,DEPUTADO ESTADUAL,PSD,BRANCA,0.2692307692307692,0.36363636363636365,0.35064935064935077
127,AC,DEPUTADO ESTADUAL,PSD,PRETA,0.15384615384615385,0.09090909090909091,-0.4090909090909091
128,AC,DEPUTADO ESTADUAL,PSD,AMARELA,0.0,0.0,
129,AC,DEPUTADO ESTADUAL,PSD,INDÍGENA,0.0,0.09090909090909091,inf
130,AC,DEPUTADO ESTADUAL,PPL,PARDA,0.7857142857142857,1.0,0.27272727272727276
131,AC,DEPUTADO ESTADUAL,PPL,BRANCA,0.07142857142857142,0.0,-1.0
132,AC,DEPUTADO ESTADUAL,PPL,PRETA,0.07142857142857142,0.0,-1.0
133,AC,DEPUTADO ESTADUAL,PPL,AMARELA,0.0,0.0,
134,AC,DEPUTADO ESTADUAL,PPL,INDÍGENA,0.07142857142857142,0.0,-1.0
135,AC,DEPUTADO ESTADUAL,PROS,PARDA,1.0,1.0,0.0
136,AC,DEPUTADO ESTADUAL,PROS,BRANCA,0.0,0.0,
137,AC,DEPUTADO ESTADUAL,PROS,PRETA,0.0,0.0,
138,AC,DEPUTADO ESTADUAL,PROS,AMARELA,0.0,0.0,
139,AC,DEPUTADO ESTADUAL,PROS,INDÍGENA,0.0,0.0,
140,AC,DEPUTADO ESTADUAL,SD,PARDA,0.7,0.0,-1.0
141,AC,DEPUTADO ESTADUAL,SD,BRANCA,0.3,0.0,-1.0
142,AC,DEPUTADO ESTADUAL,SD,PRETA,0.0,0.0,
143,AC,DEPUTADO ESTADUAL,SD,AMARELA,0.0,0.0,
