,ANO,UF,CARGO,QTD_HOMENS,QTD_MULHERES,p_MULHERES,DEFERIDOS_HOMENS,DEFERIDO_MULHERES,p_DEFERIDOS_ENTRE_HOMENS,p_DEFERIDOS_ENTRE_MULHERES
72,2010,MA,DEPUTADO ESTADUAL,359,61,0.14523809523809525,319,49,0.8885793871866295,0.8032786885245902
73,2010,MA,DEPUTADO FEDERAL,153,21,0.1206896551724138,132,19,0.8627450980392157,0.9047619047619048
74,2010,MT,DEPUTADO ESTADUAL,227,80,0.26058631921824105,172,53,0.7577092511013216,0.6625
75,2010,MT,DEPUTADO FEDERAL,71,25,0.2604166666666667,50,18,0.704225352112676,0.72
76,2010,MS,DEPUTADO ESTADUAL,200,68,0.2537313432835821,177,63,0.885,0.9264705882352942
77,2010,MS,DEPUTADO FEDERAL,50,24,0.32432432432432434,45,22,0.9,0.9166666666666666
78,2010,MG,DEPUTADO ESTADUAL,934,169,0.15321849501359927,802,140,0.8586723768736617,0.8284023668639053
79,2010,MG,DEPUTADO FEDERAL,536,93,0.1478537360890302,456,68,0.8507462686567164,0.7311827956989247
80,2010,PA,DEPUTADO ESTADUAL,444,182,0.29073482428115016,348,113,0.7837837837837838,0.6208791208791209
81,2010,PA,DEPUTADO FEDERAL,130,50,0.2777777777777778,96,22,0.7384615384615385,0.44
82,2010,PB,DEPUTADO ESTADUAL,245,73,0.22955974842767296,207,45,0.8448979591836735,0.6164383561643836
83,2010,PB,DEPUTADO FEDERAL,77,20,0.20618556701030927,64,13,0.8311688311688312,0.65
84,2010,PR,DEPUTADO ESTADUAL,476,165,0.2574102964118565,400,126,0.8403361344537815,0.7636363636363637
85,2010,PR,DEPUTADO FEDERAL,254,83,0.24629080118694363,215,50,0.8464566929133859,0.6024096385542169
86,2010,PE,DEPUTADO ESTADUAL,391,73,0.15732758620689655,342,59,0.8746803069053708,0.8082191780821918
87,2010,PE,DEPUTADO FEDERAL,183,16,0.08040201005025126,162,14,0.8852459016393442,0.875
88,2010,PI,DEPUTADO ESTADUAL,167,58,0.2577777777777778,137,46,0.8203592814371258,0.7931034482758621
89,2010,PI,DEPUTADO FEDERAL,83,34,0.2905982905982906,64,23,0.7710843373493976,0.6764705882352942
90,2010,RJ,DEPUTADO ESTADUAL,1287,562,0.3039480800432666,1126,387,0.8749028749028749,0.6886120996441281
91,2010,RJ,DEPUTADO FEDERAL,645,284,0.30570505920344454,568,182,0.8806201550387597,0.6408450704225352
92,2010,RN,DEPUTADO ESTADUAL,124,33,0.21019108280254778,124,33,1.0,1.0
93,2010,RN,DEPUTADO FEDERAL,51,10,0.16393442622950818,50,10,0.9803921568627451,1.0
94,2010,RS,DEPUTADO ESTADUAL,454,172,0.2747603833865815,410,135,0.9030837004405287,0.7848837209302325
95,2010,RS,DEPUTADO FEDERAL,231,83,0.2643312101910828,208,63,0.9004329004329005,0.7590361445783133
96,2010,RO,DEPUTADO ESTADUAL,317,66,0.17232375979112272,255,46,0.804416403785489,0.696969696969697
97,2010,RO,DEPUTADO FEDERAL,62,20,0.24390243902439024,54,17,0.8709677419354839,0.85
98,2010,RR,DEPUTADO ESTADUAL,315,131,0.2937219730941704,275,114,0.873015873015873,0.8702290076335878
99,2010,RR,DEPUTADO FEDERAL,53,21,0.28378378378378377,47,14,0.8867924528301887,0.6666666666666666
100,2010,SC,DEPUTADO ESTADUAL,259,106,0.29041095890410956,236,70,0.9111969111969112,0.660377358490566
101,2010,SC,DEPUTADO FEDERAL,118,52,0.3058823529411765,110,37,0.9322033898305084,0.7115384615384616
102,2010,SP,DEPUTADO ESTADUAL,1601,375,0.18977732793522267,1280,262,0.7995003123048094,0.6986666666666667
103,2010,SP,DEPUTADO FEDERAL,1008,268,0.21003134796238246,837,193,0.8303571428571429,0.7201492537313433
104,2010,SE,DEPUTADO ESTADUAL,119,22,0.15602836879432624,105,21,0.8823529411764706,0.9545454545454546
105,2010,SE,DEPUTADO FEDERAL,54,11,0.16923076923076924,47,7,0.8703703703703703,0.6363636363636364
106,2010,TO,DEPUTADO ESTADUAL,198,34,0.14655172413793102,180,31,0.9090909090909091,0.9117647058823529
107,2010,TO,DEPUTADO FEDERAL,37,10,0.2127659574468085,29,9,0.7837837837837838,0.9
108,2014,AC,DEPUTADO ESTADUAL,367,163,0.30754716981132074,344,146,0.9373297002724795,0.8957055214723927
109,2014,AC,DEPUTADO FEDERAL,43,22,0.3384615384615385,41,21,0.9534883720930233,0.9545454545454546
110,2014,AL,DEPUTADO ESTADUAL,209,98,0.31921824104234525,181,71,0.8660287081339713,0.7244897959183674
111,2014,AL,DEPUTADO FEDERAL,82,40,0.32786885245901637,69,29,0.8414634146341463,0.725
112,2014,AP,DEPUTADO ESTADUAL,266,117,0.30548302872062666,226,104,0.849624060150376,0.8888888888888888
113,2014,AP,DEPUTADO FEDERAL,74,41,0.3565217391304348,67,33,0.9054054054054054,0.8048780487804879
114,2014,AM,DEPUTADO ESTADUAL,437,200,0.3139717425431711,393,149,0.8993135011441648,0.745
115,2014,AM,DEPUTADO FEDERAL,54,29,0.3493975903614458,50,26,0.9259259259259259,0.896551724137931
116,2014,BA,DEPUTADO ESTADUAL,466,206,0.30654761904761907,402,147,0.8626609442060086,0.7135922330097088
117,2014,BA,DEPUTADO FEDERAL,260,127,0.3281653746770026,211,75,0.8115384615384615,0.5905511811023622
118,2014,CE,DEPUTADO ESTADUAL,438,199,0.31240188383045525,373,165,0.8515981735159818,0.8291457286432161
119,2014,CE,DEPUTADO FEDERAL,152,65,0.2995391705069124,133,58,0.875,0.8923076923076924
120,2014,DF,DEPUTADO DISTRITAL,710,316,0.3079922027290448,671,287,0.9450704225352112,0.9082278481012658
121,2014,DF,DEPUTADO FEDERAL,90,44,0.3283582089552239,85,40,0.9444444444444444,0.9090909090909091
122,2014,ES,DEPUTADO ESTADUAL,390,181,0.3169877408056042,333,129,0.8538461538461538,0.712707182320442
123,2014,ES,DEPUTADO FEDERAL,130,60,0.3157894736842105,101,45,0.7769230769230769,0.75
124,2014,GO,DEPUTADO ESTADUAL,587,259,0.3061465721040189,504,191,0.858603066439523,0.7374517374517374
125,2014,GO,DEPUTADO FEDERAL,121,55,0.3125,68,25,0.5619834710743802,0.45454545454545453
126,2014,MA,DEPUTADO ESTADUAL,396,191,0.32538330494037476,332,141,0.8383838383838383,0.7382198952879581
127,2014,MA,DEPUTADO FEDERAL,185,90,0.32727272727272727,164,58,0.8864864864864865,0.6444444444444445
128,2014,MT,DEPUTADO ESTADUAL,229,107,0.31845238095238093,191,84,0.834061135371179,0.7850467289719626
129,2014,MT,DEPUTADO FEDERAL,75,37,0.33035714285714285,60,25,0.8,0.6756756756756757
130,2014,MS,DEPUTADO ESTADUAL,287,147,0.3387096774193548,251,123,0.8745644599303136,0.8367346938775511
131,2014,MS,DEPUTADO FEDERAL,86,44,0.3384615384615385,73,41,0.8488372093023255,0.9318181818181818
132,2014,MG,DEPUTADO ESTADUAL,814,385,0.3211009174311927,719,314,0.8832923832923832,0.8155844155844156
133,2014,MG,DEPUTADO FEDERAL,477,219,0.3146551724137931,409,185,0.8574423480083857,0.8447488584474886
134,2014,PA,DEPUTADO ESTADUAL,536,244,0.3128205128205128,440,175,0.8208955223880597,0.7172131147540983
135,2014,PA,DEPUTADO FEDERAL,144,71,0.3302325581395349,115,54,0.7986111111111112,0.7605633802816901
136,2014,PB,DEPUTADO ESTADUAL,284,142,0.3333333333333333,218,90,0.7676056338028169,0.6338028169014085
137,2014,PB,DEPUTADO FEDERAL,81,36,0.3076923076923077,63,27,0.7777777777777778,0.75
138,2014,PR,DEPUTADO ESTADUAL,579,267,0.31560283687943264,516,201,0.8911917098445595,0.7528089887640449
139,2014,PR,DEPUTADO FEDERAL,235,109,0.3168604651162791,207,80,0.8808510638297873,0.7339449541284404
140,2014,PE,DEPUTADO ESTADUAL,377,174,0.3157894736842105,346,130,0.9177718832891246,0.7471264367816092
141,2014,PE,DEPUTADO FEDERAL,119,56,0.32,112,39,0.9411764705882353,0.6964285714285714
142,2014,PI,DEPUTADO ESTADUAL,174,84,0.32558139534883723,152,66,0.8735632183908046,0.7857142857142857
143,2014,PI,DEPUTADO FEDERAL,74,37,0.3333333333333333,56,28,0.7567567567567568,0.7567567567567568
144,2014,RJ,DEPUTADO ESTADUAL,1419,618,0.30338733431516934,1220,490,0.8597603946441156,0.7928802588996764
145,2014,RJ,DEPUTADO FEDERAL,749,332,0.3071230342275671,630,232,0.8411214953271028,0.6987951807228916
146,2014,RN,DEPUTADO ESTADUAL,182,92,0.3357664233576642,158,78,0.8681318681318682,0.8478260869565217
147,2014,RN,DEPUTADO FEDERAL,68,32,0.32,56,24,0.8235294117647058,0.75
148,2014,RS,DEPUTADO ESTADUAL,495,226,0.31345353675450766,470,196,0.9494949494949495,0.8672566371681416
149,2014,RS,DEPUTADO FEDERAL,222,105,0.3211009174311927,208,96,0.9369369369369369,0.9142857142857143
150,2014,RO,DEPUTADO ESTADUAL,303,145,0.3236607142857143,255,110,0.8415841584158416,0.7586206896551724
151,2014,RO,DEPUTADO FEDERAL,64,31,0.3263157894736842,56,25,0.875,0.8064516129032258
152,2014,RR,DEPUTADO ESTADUAL,289,134,0.31678486997635935,260,120,0.8996539792387543,0.8955223880597015
153,2014,RR,DEPUTADO FEDERAL,57,28,0.32941176470588235,49,27,0.8596491228070176,0.9642857142857143
154,2014,SC,DEPUTADO ESTADUAL,332,159,0.32382892057026474,282,113,0.8493975903614458,0.710691823899371
155,2014,SC,DEPUTADO FEDERAL,96,49,0.33793103448275863,85,38,0.8854166666666666,0.7755102040816326
156,2014,SP,DEPUTADO ESTADUAL,1473,654,0.307475317348378,1279,503,0.868295994568907,0.7691131498470948
157,2014,SP,DEPUTADO FEDERAL,1020,464,0.31266846361185985,889,350,0.8715686274509804,0.7543103448275862
158,2014,SE,DEPUTADO ESTADUAL,124,62,0.3333333333333333,107,50,0.8629032258064516,0.8064516129032258
159,2014,SE,DEPUTADO FEDERAL,60,29,0.3258426966292135,46,25,0.7666666666666667,0.8620689655172413
160,2014,TO,DEPUTADO ESTADUAL,196,86,0.3049645390070922,169,62,0.8622448979591837,0.7209302325581395
161,2014,TO,DEPUTADO FEDERAL,38,18,0.32142857142857145,29,15,0.7631578947368421,0.8333333333333334
162,2018,AC,DEPUTADO ESTADUAL,318,151,0.32196162046908317,193,80,0.6069182389937107,0.5298013245033113
163,2018,AC,DEPUTADO FEDERAL,55,29,0.34523809523809523,31,17,0.5636363636363636,0.5862068965517241
164,2018,AL,DEPUTADO ESTADUAL,226,106,0.3192771084337349,29,11,0.12831858407079647,0.10377358490566038
165,2018,AL,DEPUTADO FEDERAL,54,28,0.34146341463414637,3,2,0.05555555555555555,0.07142857142857142
166,2018,AP,DEPUTADO ESTADUAL,328,165,0.33468559837728196,91,43,0.2774390243902439,0.2606060606060606
167,2018,AP,DEPUTADO FEDERAL,79,40,0.33613445378151263,10,6,0.12658227848101267,0.15
168,2018,AM,DEPUTADO ESTADUAL,453,202,0.3083969465648855,217,97,0.47902869757174393,0.4801980198019802
169,2018,AM,DEPUTADO FEDERAL,104,48,0.3157894736842105,51,22,0.49038461538461536,0.4583333333333333
170,2018,BA,DEPUTADO ESTADUAL,444,197,0.3073322932917317,358,159,0.8063063063063063,0.8071065989847716
171,2018,BA,DEPUTADO FEDERAL,335,164,0.3286573146292585,294,142,0.8776119402985074,0.8658536585365854
172,2018,CE,DEPUTADO ESTADUAL,412,183,0.30756302521008405,264,114,0.6407766990291263,0.6229508196721312
173,2018,CE,DEPUTADO FEDERAL,178,84,0.32061068702290074,100,48,0.5617977528089888,0.5714285714285714
174,2018,DF,DEPUTADO DISTRITAL,667,306,0.31449126413155193,115,50,0.1724137931034483,0.16339869281045752
175,2018,DF,DEPUTADO FEDERAL,129,59,0.31382978723404253,19,11,0.14728682170542637,0.1864406779661017
176,2018,ES,DEPUTADO ESTADUAL,420,191,0.31260229132569556,334,160,0.7952380952380952,0.837696335078534
177,2018,ES,DEPUTADO FEDERAL,112,57,0.33727810650887574,78,37,0.6964285714285714,0.6491228070175439
178,2018,GO,DEPUTADO ESTADUAL,608,285,0.3191489361702128,401,174,0.6595394736842105,0.6105263157894737
179,2018,GO,DEPUTADO FEDERAL,152,76,0.3333333333333333,105,54,0.6907894736842105,0.7105263157894737
180,2018,MA,DEPUTADO ESTADUAL,355,171,0.32509505703422054,169,62,0.476056338028169,0.36257309941520466
181,2018,MA,DEPUTADO FEDERAL,137,69,0.33495145631067963,56,27,0.40875912408759124,0.391304347826087
182,2018,MT,DEPUTADO ESTADUAL,238,108,0.31213872832369943,194,75,0.8151260504201681,0.6944444444444444
183,2018,MT,DEPUTADO FEDERAL,92,49,0.3475177304964539,47,22,0.5108695652173914,0.4489795918367347
184,2018,MS,DEPUTADO ESTADUAL,238,116,0.327683615819209,210,103,0.8823529411764706,0.8879310344827587
185,2018,MS,DEPUTADO FEDERAL,85,42,0.33070866141732286,73,37,0.8588235294117647,0.8809523809523809
