,UF,ANO,CARGO,DS,COR,CANDIDATOS_COR,TOTAL,% do Total
144,AC,2018,DEPUTADO ESTADUAL,PSB,PARDA,31,35,0.8857142857142857
145,AC,2018,DEPUTADO ESTADUAL,PSC,BRANCA,4,11,0.36363636363636365
146,AC,2018,DEPUTADO ESTADUAL,PSC,PARDA,7,11,0.6363636363636364
147,AC,2018,DEPUTADO ESTADUAL,PSD,BRANCA,4,11,0.36363636363636365
148,AC,2018,DEPUTADO ESTADUAL,PSD,PRETA,1,11,0.09090909090909091
149,AC,2018,DEPUTADO ESTADUAL,PSD,PARDA,5,11,0.45454545454545453
150,AC,2018,DEPUTADO ESTADUAL,PSD,INDÍGENA,1,11,0.09090909090909091
151,AC,2018,DEPUTADO ESTADUAL,PHS,BRANCA,10,22,0.45454545454545453
152,AC,2018,DEPUTADO ESTADUAL,PHS,PRETA,3,22,0.13636363636363635
153,AC,2018,DEPUTADO ESTADUAL,PHS,PARDA,9,22,0.4090909090909091
154,AC,2018,DEPUTADO ESTADUAL,DC,BRANCA,3,26,0.11538461538461539
155,AC,2018,DEPUTADO ESTADUAL,DC,PARDA,23,26,0.8846153846153846
156,AC,2018,DEPUTADO ESTADUAL,REDE,BRANCA,4,10,0.4
157,AC,2018,DEPUTADO ESTADUAL,REDE,PRETA,1,10,0.1
158,AC,2018,DEPUTADO ESTADUAL,REDE,PARDA,5,10,0.5
159,AC,2018,DEPUTADO ESTADUAL,PSOL,BRANCA,4,11,0.36363636363636365
160,AC,2018,DEPUTADO ESTADUAL,PSOL,PARDA,6,11,0.5454545454545454
161,AC,2018,DEPUTADO ESTADUAL,PSOL,INDÍGENA,1,11,0.09090909090909091
162,AC,2018,DEPUTADO ESTADUAL,PODE,PRETA,2,13,0.15384615384615385
163,AC,2018,DEPUTADO ESTADUAL,PODE,PARDA,11,13,0.8461538461538461
164,AC,2018,DEPUTADO ESTADUAL,PC do B,PRETA,2,5,0.4
165,AC,2018,DEPUTADO ESTADUAL,PC do B,PARDA,3,5,0.6
166,AC,2018,DEPUTADO ESTADUAL,SOLIDARIEDADE,BRANCA,5,24,0.20833333333333334
167,AC,2018,DEPUTADO ESTADUAL,SOLIDARIEDADE,PARDA,19,24,0.7916666666666666
168,AC,2018,DEPUTADO ESTADUAL,PRTB,PARDA,14,14,1.0
169,AC,2018,DEPUTADO ESTADUAL,PROS,PARDA,8,8,1.0
170,AC,2018,DEPUTADO ESTADUAL,PV,BRANCA,3,10,0.3
171,AC,2018,DEPUTADO ESTADUAL,PV,PARDA,7,10,0.7
172,AC,2018,DEPUTADO ESTADUAL,PTC,PRETA,1,4,0.25
173,AC,2018,DEPUTADO ESTADUAL,PTC,PARDA,3,4,0.75
174,AC,2018,DEPUTADO ESTADUAL,PMN,PRETA,1,4,0.25
175,AC,2018,DEPUTADO ESTADUAL,PMN,PARDA,3,4,0.75
176,AC,2018,DEPUTADO ESTADUAL,PR,PARDA,3,3,1.0
177,AC,2018,DEPUTADO ESTADUAL,PPL,PARDA,2,2,1.0
178,AC,2018,DEPUTADO FEDERAL,PSL,BRANCA,5,8,0.625
179,AC,2018,DEPUTADO FEDERAL,PSL,PARDA,3,8,0.375
180,AC,2018,DEPUTADO FEDERAL,PDT,BRANCA,2,17,0.11764705882352941
181,AC,2018,DEPUTADO FEDERAL,PDT,PRETA,2,17,0.11764705882352941
182,AC,2018,DEPUTADO FEDERAL,PDT,PARDA,13,17,0.7647058823529411
183,AC,2018,DEPUTADO FEDERAL,DC,PARDA,3,3,1.0
184,AC,2018,DEPUTADO FEDERAL,PSDB,BRANCA,1,1,1.0
185,AC,2018,DEPUTADO FEDERAL,PROS,PARDA,2,2,1.0
186,AC,2018,DEPUTADO FEDERAL,PRP,PARDA,3,3,1.0
187,AC,2018,DEPUTADO FEDERAL,PPS,PARDA,1,1,1.0
188,AC,2018,DEPUTADO FEDERAL,PP,PARDA,3,3,1.0
189,AC,2018,DEPUTADO FEDERAL,AVANTE,BRANCA,2,9,0.2222222222222222
190,AC,2018,DEPUTADO FEDERAL,AVANTE,PARDA,7,9,0.7777777777777778
191,AC,2018,DEPUTADO FEDERAL,PT,BRANCA,1,5,0.2
192,AC,2018,DEPUTADO FEDERAL,PT,PRETA,1,5,0.2
193,AC,2018,DEPUTADO FEDERAL,PT,PARDA,3,5,0.6
194,AC,2018,DEPUTADO FEDERAL,PC do B,BRANCA,1,1,1.0
195,AC,2018,DEPUTADO FEDERAL,MDB,BRANCA,1,4,0.25
196,AC,2018,DEPUTADO FEDERAL,MDB,PARDA,3,4,0.75
197,AC,2018,DEPUTADO FEDERAL,PSOL,BRANCA,1,4,0.25
198,AC,2018,DEPUTADO FEDERAL,PSOL,PARDA,2,4,0.5
199,AC,2018,DEPUTADO FEDERAL,PSOL,INDÍGENA,1,4,0.25
200,AC,2018,DEPUTADO FEDERAL,PTB,BRANCA,1,1,1.0
201,AC,2018,DEPUTADO FEDERAL,PV,BRANCA,1,2,0.5
202,AC,2018,DEPUTADO FEDERAL,PV,PARDA,1,2,0.5
203,AC,2018,DEPUTADO FEDERAL,PPL,PRETA,1,1,1.0
204,AC,2018,DEPUTADO FEDERAL,PSB,BRANCA,1,1,1.0
205,AC,2018,DEPUTADO FEDERAL,PATRI,PRETA,1,1,1.0
206,AC,2018,DEPUTADO FEDERAL,PODE,PRETA,1,2,0.5
207,AC,2018,DEPUTADO FEDERAL,PODE,PARDA,1,2,0.5
208,AC,2018,DEPUTADO FEDERAL,PHS,BRANCA,1,2,0.5
209,AC,2018,DEPUTADO FEDERAL,PHS,INDÍGENA,1,2,0.5
210,AC,2018,DEPUTADO FEDERAL,REDE,PARDA,2,2,1.0
211,AC,2018,DEPUTADO FEDERAL,DEM,BRANCA,1,1,1.0
212,AC,2018,DEPUTADO FEDERAL,PRB,PARDA,1,1,1.0
213,AC,2018,DEPUTADO FEDERAL,SOLIDARIEDADE,BRANCA,1,1,1.0
214,AC,2018,DEPUTADO FEDERAL,PSD,BRANCA,1,1,1.0
215,AC,2018,DEPUTADO FEDERAL,PRTB,PARDA,2,2,1.0
216,AC,2018,DEPUTADO FEDERAL,PMB,BRANCA,1,1,1.0
217,AC,2018,DEPUTADO FEDERAL,PR,PARDA,1,1,1.0
218,AC,2018,DEPUTADO FEDERAL,PTC,PARDA,1,1,1.0
219,AC,2018,DEPUTADO FEDERAL,PMN,PARDA,1,1,1.0
220,AC,2018,DEPUTADO FEDERAL,PSC,PARDA,1,1,1.0
221,AC,2018,SENADOR,PT,BRANCA,1,2,0.5
222,AC,2018,SENADOR,PT,PARDA,1,2,0.5
223,AC,2018,SENADOR,PSD,BRANCA,1,1,1.0
224,AC,2018,SENADOR,REDE,AMARELA,1,1,1.0
225,AC,2018,SENADOR,PSL,BRANCA,1,1,1.0
226,AC,2018,SENADOR,MDB,BRANCA,1,1,1.0
227,AL,2014,DEPUTADO ESTADUAL,PSOL,BRANCA,3,10,0.3
228,AL,2014,DEPUTADO ESTADUAL,PSOL,PRETA,1,10,0.1
229,AL,2014,DEPUTADO ESTADUAL,PSOL,PARDA,6,10,0.6
230,AL,2014,DEPUTADO ESTADUAL,PPS,BRANCA,4,21,0.19047619047619047
231,AL,2014,DEPUTADO ESTADUAL,PPS,PARDA,17,21,0.8095238095238095
232,AL,2014,DEPUTADO ESTADUAL,PSD,BRANCA,5,6,0.8333333333333334
